x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14
1.75183E-06,0.97186377,1.53285E-06,0.925934768,,,1.54365E-06,0.971395963,1.4865E-06,0.867808499,,,,,,,1.6778E-06,0.96258601,1.2752E-06,0.863655117,1.0145E-06,0.801387591,,,1.44927E-06,0.840688585,1.88405E-06,0.957856828
1.89782E-06,0.980680048,1.67883E-06,0.943390785,,,1.67785E-06,0.980635134,1.6216E-06,0.888298111,,,,,,,0.000001812,0.972823536,1.4094E-06,0.887305852,1.1595E-06,0.833375094,,,1.5942E-06,0.863684447,,
2.0438E-06,0.987028769,1.82482E-06,0.957431321,,,1.81205E-06,0.987204945,1.7567E-06,0.906409181,,,,,,,,,1.5436E-06,0.907871147,1.3044E-06,0.86181411,,,1.73912E-06,0.884297653,,
,,1.9708E-06,0.968511255,,,1.94625E-06,0.991750937,1.8919E-06,0.922265013,,,,,,,,,1.6778E-06,0.92551708,1.4493E-06,0.886749872,,,1.88405E-06,0.902594892,,
,,2.11679E-06,0.977092003,,,,,0.000002027,0.935984024,,,,,,,,,1.8121E-06,0.940468058,1.5942E-06,0.908296964,,,2.02898E-06,0.918674586,,
,,2.26277E-06,0.983611707,,,,,,,,,,,,,,,1.9463E-06,0.952949412,1.7392E-06,0.926657585,,,2.1739E-06,0.932664856,,
,,,,,,,,,,,,,,,,,,2.0805E-06,0.963239642,1.8841E-06,0.942054711,,,2.31883E-06,0.944718507,,
,,,,,,,,,,,,,,,,,,2.2147E-06,0.97161123,0.000002029,0.95478901,,,,,,
,,,,,,,,,,,,,,,,,,,,2.1739E-06,0.965168315,,,,,,
,,,,,,,,,,,,,,,,,,,,2.3189E-06,0.973510619,,,,,,
,,,,,,,,,,,,,,,,,,,,2.4638E-06,0.980109286,,,,,,
,,,,,,,,,,,,,,,,,,,,2.6087E-06,0.985257052,,,,,,
,,,,,,,,,,,,,,,,,,,,2.7536E-06,0.989214719,,,,,,
